attacker,defender,multiplier
normal,rock,0.5
normal,ghost,0.0
fire,fire,0.5
fire,water,0.5
fire,grass,2.0
fire,rock,0.5
fire,bug,2.0
fire,ice,2.0
fire,dragon,0.5
water,fire,2.0
water,water,0.5
water,grass,0.5
water,ground,2.0
water,rock,2.0
water,dragon,0.5
grass,fire,0.5
grass,water,2.0
grass,grass,0.5
grass,poison,0.5
grass,ground,2.0
grass,flying,0.5
grass,bug,0.5
grass,rock,2.0
grass,dragon,0.5
electric,water,2.0
electric,grass,0.5
electric,electric,0.5
electric,ground,0.0
electric,flying,2.0
electric,dragon,0.5
ice,fire,0.5
ice,water,0.5
ice,grass,2.0
ice,ice,0.5
ice,ground,2.0
ice,flying,2.0
ice,dragon,2.0
fighting,normal,2.0
fighting,ice,2.0
fighting,poison,0.5
fighting,flying,0.5
fighting,psychic,0.5
fighting,bug,0.5
fighting,rock,2.0
fighting,ghost,0.0
fighting,fairy,0.5
poison,grass,2.0
poison,poison,0.5
poison,ground,0.5
poison,rock,0.5
poison,ghost,0.5
poison,fairy,2.0
ground,fire,2.0
ground,grass,0.5
ground,electric,2.0
ground,poison,2.0
ground,flying,0.0
ground,bug,0.5
ground,rock,2.0
flying,grass,2.0
flying,electric,0.5
flying,fighting,2.0
flying,bug,2.0
flying,rock,0.5
psychic,fighting,2.0
psychic,poison,2.0
psychic,psychic,0.5
psychic,ghost,0.0
bug,fire,0.5
bug,grass,2.0
bug,fighting,0.5
bug,poison,0.5
bug,flying,0.5
bug,psychic,2.0
bug,ghost,0.5
bug,fairy,0.5
rock,fire,2.0
rock,ice,2.0
rock,fighting,0.5
rock,ground,0.5
rock,flying,2.0
rock,bug,2.0
ghost,normal,0.0
ghost,psychic,2.0
ghost,ghost,2.0
dragon,dragon,2.0
dragon,fairy,0.0
fairy,fire,0.5
fairy,fighting,2.0
fairy,poison,0.5
fairy,dragon,2.0
